Cruise,CTD,Bottle,Description,Beads/mL,Proc/mL,Proc_SSC,Proc_Chl,Syn/mL,Syn_SSC,Syn_PE,Syn_Chl,Pico/mL,Pico_SSC,Pico_Chl,Nano/mL,Nano_SSC,Nano_Chl,Total Euk/mL,Bact/mL Corrected,Bact_FSC,Bact_SSC,Bact_Green,cruise,cast,bottle,type,month,day,year,latitude,longitude,pressure,temp,salinity,ctdfchl,ctdtrns,ctdoxy,potemp,potdens,hplc_2_3l,hplc_color,poc_2_7l,pic_2_7l,coccos_vol,microlugol,rema_id,dep_n,dep_med,dep_75ms25,tem_n,tem_med,tem_75ms25,sal_n,sal_med,sal_75ms25,chl_n,chl_med,chl_75ms25,chl_drk,chl_slp,cdm_n,cdm_med,cdm_75ms25,cdm_drk,cdm_slp,bbp_n,bbp_med,bbp_75ms25,bbp_drk,bbp_slp,station
Perle2,67,1,P2_067_01,7093.023255813953,305.55555555555554,0.046,1.018,740.3100775193799,0.076,2.706,16.11,73.64341085271317,0.32,73.143,NA,NA,NA,73.64341085271317,189270.91503267974,0.116,0.014,0.235,PERLE2,67,1,PHYTOFLOAT,3,8,2019,33.592666666666666,28.80516666666667,150.195,15.48,39.1339,0.0123,89.6146,212.412,15.456,29.0587,NA,NA,P2_067_01,NA,P2_067_01 (4L),P2_067_01,4064,79,150.154,0.025,79,15.471,0.045,79,39.132,0.011,79,47,1,0.0072,44,79,43,0.5,0.0903,38,79,113,4,1.66e-6,46,67
Perle2,67,4,P2_067_04,5278.481012658228,15278.481012658227,0.033,0.788,9050.632911392406,0.064,4.522,21.479,1649.789029535865,0.412,170.695,265.82278481012656,27.987,1687.645,1915.6118143459917,312880.24914607196,0.152,0.013,0.208,PERLE2,67,4,PHYTOFLOAT,3,8,2019,33.592666666666666,28.80516666666667,49.953,15.985900000000001,39.2128,0.1107,88.6187,222.773,15.9778,28.9976,NA,NA,P2_067_04,P2_067_05,P2_067_04 (3L),P2_067_04,4064,71,49.933,0.017,71,15.982,0.02,71,39.213,0.004,71,120,5.5,0.0072,44,71,42,0.5,0.0903,38,71,141,5.5,1.66e-6,46,67
Perle2,67,6,P2_067_06,5681.647940074907,35752.808988764045,0.023,0.178,62262.17228464419,0.076,0.957,4.192,2220.9737827715358,0.498,64.999,659.1760299625469,14.263,1048.595,2880.149812734083,425629.21348314604,0.084,0.017,0.208,PERLE2,67,6,PHYTOFLOAT,3,8,2019,33.592666666666666,28.80516666666667,5.292,16.3706,39.2245,0.1195,87.4041,238.014,16.3697,28.9135,P2_067_06,VIOLET,P2_067_06,P2_067_07,P2_067_06 (3L),P2_067_06,4064,64,5.282,0.023,64,16.363,0.008,64,39.225,0,64,101,2,0.0072,44,64,41,0.5,0.0903,38,64,150,3,1.66e-6,46,67
Perle2,67,6,P2_067_06,7811.111111111111,16683.333333333332,0.02,0.155,61529.62962962963,0.076,0.901,4.02,2022.2222222222222,0.47,54.758,374.0740740740741,13.176,1292.114,2396.296296296296,435781.37254901964,0.137,0.017,0.24,PERLE2,67,6,PHYTOFLOAT,3,8,2019,33.592666666666666,28.80516666666667,5.292,16.3706,39.2245,0.1195,87.4041,238.014,16.3697,28.9135,P2_067_06,VIOLET,P2_067_06,P2_067_07,P2_067_06 (3L),P2_067_06,4064,64,5.282,0.023,64,16.363,0.008,64,39.225,0,64,101,2,0.0072,44,64,41,0.5,0.0903,38,64,150,3,1.66e-6,46,67
Perle2,78,2,P2_078_02,6188.888888888889,10416.666666666666,0.042,1.003,4544.444444444444,0.089,3.508,24.063,1459.2592592592594,0.309,77.234,277.77777777777777,7.73,1211.468,1737.0370370370372,368371.56862745096,0.133,0.012,0.195,PERLE2,78,2,PHYTOFLOAT,3,10,2019,33.91733333333333,27.601333333333333,110.111,15.247,39.116,0.0894,88.9132,217.612,15.2296,29.097,NA,NA,NA,P2_078_02,P2_078_02 (4L),P2_078_02,4064,58,110.055,0.046,58,15.24,0.01,58,39.114,0.003,58,91,5,0.0072,44,58,42,1,0.0903,38,58,130,4,1.66e-6,46,78
Perle2,78,4,P2_078_04,5677.902621722847,61089.88764044944,0.027,0.481,36194.75655430712,0.057,2.425,11.699,8134.831460674157,0.291,52.676,1700.374531835206,9.872,814.192,9835.205992509364,850775.2808988764,0.07,0.011,0.188,PERLE2,78,4,PHYTOFLOAT,3,10,2019,33.91733333333333,27.601333333333333,49.429,15.759,39.185,0.2785,86.688,234.505,15.7511,29.0295,NA,NA,NA,P2_078_04,"P2_078_04 (A:3L,B:2L)",P2_078_04,4064,34,49.41,0.035,34,15.758,0.001,34,39.185,0.001,34,182,8.5,0.0072,44,34,41,1,0.0903,38,34,214,6,1.66e-6,46,78
Perle2,78,4,P2_078_04,4514.767932489452,58460.31746031746,0.024,0.314,34865.079365079364,0.06,1.688,8.644,6839.662447257384,0.274,53.054,1637.1308016877638,17.805,774.555,8476.793248945149,809500,0.124,0.012,0.207,PERLE2,78,4,PHYTOFLOAT,3,10,2019,33.91733333333333,27.601333333333333,49.429,15.759,39.185,0.2785,86.688,234.505,15.7511,29.0295,NA,NA,NA,P2_078_04,"P2_078_04 (A:3L,B:2L)",P2_078_04,4064,34,49.41,0.035,34,15.758,0.001,34,39.185,0.001,34,182,8.5,0.0072,44,34,41,1,0.0903,38,34,214,6,1.66e-6,46,78
Perle2,78,6,P2_078_06,5325.842696629214,NA,NA,NA,59367.04119850187,0.062,0.922,3.889,4359.550561797752,0.353,40.335,2044.943820224719,12.604,833.682,6404.494382022472,848578.6516853933,NA,NA,NA,PERLE2,78,6,PHYTOFLOAT,3,10,2019,33.91733333333333,27.601333333333333,5.349,16.2616,39.2071,0.1601,84.9134,246.005,16.2607,28.9261,NA,NA,NA,P2_078_06,"P2_078_06 (A:3L,B:2L)",P2_078_06,4064,56,5.239,0.028,56,16.253,0.031,56,39.207,0,56,106,5.5,0.0072,44,56,42,1.5,0.0903,38,56,214,5,1.66e-6,46,78
Perle2,78,6,P2_078_06,4649.789029535865,NA,NA,NA,54484.12698412698,0.067,0.605,2.825,3561.181434599156,0.318,32.084,2329.1139240506327,16.251,768.851,5890.295358649789,753936.5079365079,0.136,0.014,0.22,PERLE2,78,6,PHYTOFLOAT,3,10,2019,33.91733333333333,27.601333333333333,5.349,16.2616,39.2071,0.1601,84.9134,246.005,16.2607,28.9261,NA,NA,NA,P2_078_06,"P2_078_06 (A:3L,B:2L)",P2_078_06,4064,56,5.239,0.028,56,16.253,0.031,56,39.207,0,56,106,5.5,0.0072,44,56,42,1.5,0.0903,38,56,214,5,1.66e-6,46,78
Perle2,87,5,P2_087_05,7352.7131782945735,52361.11111111111,0.026,0.523,41383.72093023256,0.071,3.485,16.744,1693.7984496124031,0.438,94.95,558.1395348837209,9.063,1356.57,2251.937984496124,693897.7124183007,0.131,0.013,0.187,PERLE2,87,5,PHYTOFLOAT,3,11,2019,34.681333333333335,26.897666666666666,50.145,16.0101,39.202,0.1484,88.0303,235.544,16.0019,28.9836,NA,NA,P2_087_05,NA,P2_087_05 (3L),P2_087_05,4064,123,50.149,0.044,123,16.01,0.001,123,39.202,0,123,125,4.5,0.0072,44,123,41,1,0.0903,38,123,169,11.5,1.66e-6,46,87
Perle2,87,12,P2_087_12,7062.962962962963,277.77777777777777,0.032,0.949,50477.77777777778,0.07,0.587,2.622,1248.148148148148,0.503,55.285,751.8518518518518,18.177,1308.775,2000,660410.4575163398,0.144,0.019,0.238,PERLE2,87,12,PHYTOFLOAT,3,11,2019,34.681333333333335,26.897666666666666,4.458,16.5533,39.1907,0.1279,86.4718,242.127,16.5526,28.8435,NA,NA,P2_087_12,NA,P2_087_12 (3L),P2_087_12,4064,77,4.408,0.099,77,16.55,0.009,77,39.191,0.001,77,96,2,0.0072,44,77,41,2,0.0903,38,77,187,6.5,1.66e-6,46,87
