Class	Species	Biovolume (µm3)	O22_21	O22_22	O22_24	O23_21	O23_22	O23_24	O24_21	O24_22	O24_24	O25_21	O25_22	O25_24	O12_21	O12_10	O12_12	TNS06_21	TNS06_22	TNS06_24	TNS08_21	TNS08_22	TNS08_24	A3_1_21	A3_1_22	A3_1_24	A3_2_21	A3_2_22	A3_2_24	KERFIX_21	KERFIX_22	KERFIX_24	FS_21	FS_22	FS_24	O11_21	O11_22	O11_24	SI_21	SI_22	SI_24	TB1
2	Ceratium pentagonum	13744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Gymnodinium sp.	522	0	18	16	2	4	21	7	12	9	2	8	6	3	0	6	2	12	18	0	10	2	0	2	1	0	0	1	0	9	3	6	2	22	1	3	2	0	2	27	0
2	Gyrodinium glaciale	24767	0	0	0	0	0	0	0	8	0	0	3	1	0	1	2	0	0	0	0	0	0	1	18	24	1	16	10	0	0	0	2	1	10	0	8	6	0	0	0	0
2	Gyrodinium rhabdomante	2008	0	6	26	0	0	2	10	10	14	11	8	3	0	62	115	0	66	23	0	20	44	0	6	2	0	4	5	0	62	41	2	30	56	0	60	33	0	22	55	0
2	Gyrodinium sp.	688	7	21	32	8	8	23	10	76	18	26	3	1	12	50	116	10	45	30	0	47	25	10	10	15	20	5	5	8	15	10	20	16	98	6	32	20	12	13	46	14
2	Heterocapsa triquetra	513	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2	Kyst (resting stage)	2954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0
2	Oxytoxum sp.	1810	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
2	Preperidinium sp.	604	0	2	4	0	2	2	6	0	8	2	13	6	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
2	Prorocentrum sp.	20460	5	43	112	2	28	38	24	26	22	8	30	12	13	38	66	2	19	18	6	10	15	12	4	3	12	3	2	2	37	18	12	14	22	1	18	16	4	11	26	5
2	Protoperidinium antarcticum	138282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
2	Protoperidinium bellulum	15806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	16	9	0	0	1	0	6	1	0	0	0	0
2	Protoperidinium oviforme	28736	0	0	0	0	0	0	0	0	0	0	1	2	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Protoperidinium sp.	20303	0	0	6	0	2	6	0	2	0	0	0	0	0	8	23	0	0	22	0	0	4	1	2	8	4	18	22	0	21	11	0	0	5	0	16	3	0	0	0	0
3	Codonella sp.	19568	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0
3	Cymatocylis sp.	101175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
3	Dictyocycsta sp.	16482	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
3	Strombidinium sp.	11272	4	17	12	2	17	37	2	52	14	6	28	28	1	16	41	10	0	5	2	1	2	2	0	0	9	12	10	2	8	13	2	12	19	0	4	6	4	2	5	68
4	Dictyocha	3882	0	0	0	2	0	4	15	8	0	6	6	18	12	12	5	18	39	16	10	0	3	6	3	2	12	4	3	8	96	97	12	77	87	13	60	58	38	61	57	1
